date,volume,open,high,low,close,MACD,RSI
2020-09-17,102597222.59,0.3,15.0,0.3,3.4617,0.0,
2020-09-18,167667906.97,3.4618,8.6,3.2285,6.9,0.27,
2020-09-19,79814511.66,6.9,7.4963,5.19,5.7244,0.39,
2020-09-20,53519725.62,5.7244,6.09,4.65,5.223,0.44,
2020-09-21,56110504.32,5.22,5.65,4.06,4.2471,0.39,
2020-09-22,40815724.83,4.2505,4.554,3.6828,3.9105,0.33,
2020-09-23,58485584.8,3.9079,5.3475,3.9008,4.38,0.31,
2020-09-24,44859170.85,4.38,5.2888,4.26,5.164,0.35,
2020-09-25,31809864.62,5.159,5.5525,4.7605,4.9145,0.36,
2020-09-26,15021040.65,4.9134,4.9897,4.6752,4.8684,0.37,
2020-09-27,14663658.99,4.8638,5.2133,4.7,4.8458,0.36,
2020-09-28,15753026.48,4.846,4.95,4.18,4.2503,0.3,
2020-09-29,11551787.7,4.2475,4.4135,4.12,4.3826,0.27,
2020-09-30,8331877.3,4.3826,4.3854,3.95,4.1554,0.22,
2020-10-01,18775683.03,4.1554,4.514,3.9038,4.2397,0.18,54.3
2020-10-02,12414352.91,4.2396,4.2396,3.569,3.8904,0.13,24.71
2020-10-03,6558893.01,3.89,4.1195,3.83,3.9041,0.08,30.99
2020-10-04,9253080.76,3.9001,3.9447,3.61,3.7262,0.03,33.24
2020-10-05,14619829.43,3.7235,3.8,3.1817,3.319,-0.04,38.09
2020-10-06,23504656.67,3.319,3.3409,2.63,2.7143,-0.15,35.64
2020-10-07,24192428.29,2.7143,3.0,2.4779,2.9621,-0.21,32.02
2020-10-08,25679034.97,2.9629,3.4654,2.6428,3.3499,-0.22,24.42
2020-10-09,16228659.83,3.3499,3.6,3.1749,3.3834,-0.23,27.01
2020-10-10,10858881.78,3.38,3.6578,3.2664,3.2989,-0.24,26.7
2020-10-11,8504843.75,3.2956,3.451,3.1776,3.3626,-0.24,28.25
2020-10-12,8926434.98,3.36,3.5994,3.282,3.4599,-0.22,36.42
2020-10-13,5585565.98,3.4554,3.5,3.2931,3.3546,-0.22,32.18
2020-10-14,11409168.6,3.3511,3.44,2.97,3.1123,-0.24,32.01
2020-10-15,7895030.52,3.1105,3.1674,2.915,3.0793,-0.25,29.63
2020-10-16,13597633.89,3.0765,3.3803,2.8813,3.0426,-0.26,33.28
2020-10-17,5391124.74,3.0436,3.1249,2.9703,3.0566,-0.26,33.29
2020-10-18,5642285.19,3.0574,3.291,3.0472,3.2811,-0.24,41.38
2020-10-19,4410931.55,3.2797,3.2885,3.11,3.1703,-0.23,46.75
2020-10-20,9089338.55,3.1703,3.191,2.8008,2.8582,-0.25,53.61
2020-10-21,9708638.42,2.8582,3.0884,2.8389,2.9371,-0.25,49.31
2020-10-22,5420844.93,2.9359,3.1484,2.9194,3.0432,-0.24,40.06
2020-10-23,4318812.16,3.0418,3.1219,2.9621,3.011,-0.23,37.92
2020-10-24,3415735.11,3.0123,3.085,2.9272,2.9399,-0.23,38.25
2020-10-25,4908494.61,2.939,2.966,2.7101,2.7726,-0.24,31.92
2020-10-26,7181296.49,2.7717,2.878,2.52,2.7114,-0.25,26.54
2020-10-27,7266259.31,2.7109,2.9131,2.6992,2.8096,-0.25,32.84
2020-10-28,6456512.26,2.8086,2.8593,2.5952,2.6611,-0.25,34.91
2020-10-29,4388799.14,2.6594,2.7395,2.4864,2.5391,-0.26,32.94
2020-10-30,11811039.44,2.5388,2.5663,2.233,2.4134,-0.28,31.19
2020-10-31,4373032.59,2.4136,2.4138,2.24,2.2662,-0.3,28.11
2020-11-01,5706748.83,2.2648,2.4537,2.219,2.3765,-0.31,23.26
2020-11-02,6033645.49,2.3764,2.4541,2.2228,2.254,-0.32,23.1
2020-11-03,7235337.33,2.2526,2.281,2.0554,2.138,-0.33,26.11
2020-11-04,10088117.38,2.136,2.1664,1.8758,1.9281,-0.35,19.2
2020-11-05,30375798.47,1.9271,2.431,1.7563,2.1901,-0.35,26.22
2020-11-06,29787141.52,2.1892,2.6877,2.1735,2.5657,-0.31,39.58
2020-11-07,38120411.72,2.5681,3.0287,2.422,2.4755,-0.28,39.23
2020-11-08,13015901.0,2.4755,2.9229,2.4317,2.8653,-0.22,51.95
2020-11-09,11032888.1,2.8625,2.8785,2.5731,2.6822,-0.19,49.42
2020-11-10,16785491.42,2.6792,3.1766,2.6267,3.0759,-0.13,54.76
2020-11-11,12850038.45,3.0772,3.2161,2.8721,2.9308,-0.1,54.83
2020-11-12,9926182.69,2.9309,3.1387,2.8333,2.9582,-0.07,57.77
2020-11-13,24145430.65,2.9594,3.9859,2.935,3.8614,0.03,70.83
2020-11-14,22324085.9,3.8578,3.968,3.5113,3.8165,0.1,72.98
2020-11-15,23584006.78,3.8127,4.2497,3.6143,3.8458,0.16,72.31
2020-11-16,24094608.27,3.8471,3.95,3.45,3.5634,0.18,68.96
2020-11-17,18165511.87,3.5618,3.8732,3.476,3.8104,0.21,73.33
2020-11-18,15439047.58,3.8135,3.8499,3.271,3.4607,0.21,70.58
2020-11-19,18721726.03,3.4622,3.89,3.2093,3.7417,0.23,70.73
2020-11-20,16998990.39,3.7447,4.0899,3.6764,3.8552,0.25,68.53
2020-11-21,15599791.13,3.8573,3.94,3.5892,3.8366,0.26,69.97
2020-11-22,11204446.17,3.8382,3.9483,3.41,3.6763,0.25,62.75
2020-11-23,15957690.4,3.681,4.2292,3.6312,4.1842,0.28,71.43
2020-11-24,18389409.65,4.1855,4.4857,3.9274,4.0627,0.3,65.27
2020-11-25,11368286.18,4.063,4.2,3.51,3.6773,0.27,60.75
2020-11-26,17185256.24,3.6748,3.7684,3.1,3.43,0.23,56.39
